entropy_p,entropy_i,NCE_t,issuer,users,covid_topic,education_topic,environment_topic,reopen_topic,transportation_topic,volunteering_topic,policy_pos,policy_neg,reopen,covid_shenzhen,covid_CHN
5.07E-06,0.000444481,0.002271451,-15,-108,-91,-17,2,-3,-13,-2,-1.09127,0,0,0,-13
1.02E-06,-3.73E-05,-0.001760314,-3,-22,-61,-1,4,-2,0,4,-3.02614801,0,0,0,13
1.40E-06,-0.000151631,0.002740071,-6,-24,-78,-7,-2,2,-3,-28,0,0,0,0,-9
2.08E-06,4.35E-05,-0.006103541,-1,-48,-126,-7,4,1,2,-5,0,0,0,0,-4
4.86E-06,3.62E-05,-0.00256862,-13,-126,-50,-26,2,-2,-16,-34,0,0,0,0,-4
3.97E-07,-0.000551762,-0.002682809,-5,-42,-164,3,2,-3,-19,-2,0,0,0,0,10
3.38E-06,2.75E-05,-0.003616801,4,-63,-127,4,-2,1,-3,8,0,0,0,0,-5
-8.71E-07,-0.000498432,-0.003196901,7,28,-63,-4,14,5,-5,-24,0,0,0,0,3
-4.10E-08,0.000439163,0.003213129,0,-23,-54,-1,4,-1,-1,-3,0,0,0,0,-4
1.72E-06,-0.000217384,-0.001210029,-2,-49,4,-4,-8,-4,-4,2,0,0,0,0,-1
3.17E-07,-0.000696144,-0.002177251,-2,-13,7,-3,-1,2,-5,17,0,0,0,0,-1
-6.14E-07,0.000457258,-0.001393745,11,15,9,-11,3,-8,-4,-22,0,0,0,0,8
-1.95E-06,0.000106072,-0.001057389,6,17,-22,-2,14,0,11,18,0,0,0,0,-4
8.57E-06,0.00117578,0.006000777,-11,-151,-278,-20,-76,-18,-4,-61,0,0,0,0,5
5.14E-06,0.000893416,-0.002956377,-7,-111,-278,-16,-45,-12,-5,-60,0,0,0,0,46
2.84E-07,0.000344142,-0.002110236,0,-7,-31,-3,4,6,0,4,0,0,0,0,-9
-3.27E-06,-5.76E-05,-0.00196686,6,70,166,21,5,8,3,45,0,0,0,0,-4
-3.00E-06,-7.67E-05,-0.000499182,13,58,29,2,45,-4,-3,29,0,0,0,0,-1
-1.07E-06,-0.000489813,-0.000591117,10,-42,-71,0,-8,-5,9,5,0,0,0,0,-8
2.67E-06,0.000590455,0.001899012,-4,-37,25,-11,3,-2,2,1,0,0,0,0,1
-1.72E-06,-0.000173693,0.002447084,-9,68,-9,0,-8,-3,-4,-2,0,0,0,0,-7
2.28E-06,-0.000621473,0.000140375,0,-51,-101,-2,13,-10,-6,25,0,0,0,0,-3
8.22E-07,9.14E-05,-0.00059325,1,27,11,-6,5,-6,6,3,0,0,0,0,-6
-1.24E-06,-5.63E-05,-0.001010778,0,-3,18,3,4,-1,0,11,0,0,0,0,31
-6.13E-06,-0.000608828,-0.00090973,16,165,-22,15,14,-1,13,24,0,0,0,0,-24
2.45E-06,-0.000240865,-0.000145653,1,-22,-62,11,-1,-2,2,5,0,0,0,0,-7
-6.96E-07,-0.000246695,-0.004590051,-4,1,-59,4,-1,3,0,-15,0,0,0,0,8
-7.59E-06,-0.001312168,-0.005174387,4,135,180,1,47,8,10,53,0,0,0,0,-5
-1.05E-05,-0.000996004,-0.000534235,10,175,220,9,101,10,7,67,0,0,0,0,-6
7.74E-07,0.000175429,-0.000190151,0,-17,24,-7,-16,-7,-4,-7,0,0,0,0,-4
5.79E-06,0.000875789,0.00457892,-9,-97,-209,-31,-20,-17,-8,-50,0,0,0,0,9
-5.39E-06,0.000140573,0.00100396,21,191,-52,8,-52,3,8,-17,0,0,0,0,-18
-5.61E-06,-0.000213252,0.002261016,12,212,67,16,24,5,-1,23,0,0,0,0,26
-4.40E-06,-0.000449198,-0.000532748,20,120,75,8,16,-4,2,23,0,0,0,0,-16
-2.28E-06,0.000160357,0.003491286,13,15,56,5,19,12,1,16,0,0,0,0,-6
-4.54E-06,0.000101068,0.003287715,10,124,26,9,50,5,2,-8,0,0,0,0,10
-1.34E-06,0.000249771,0.002596958,0,59,-10,-3,0,2,0,9,0,0,0,0,-5
1.13E-06,9.48E-05,0.00162928,-3,-19,-56,-5,-8,0,0,-14,0,0,0,0,11
-2.73E-07,6.41E-05,0.004391871,-1,13,28,5,-14,1,5,-7,0,0,0,0,-4
-3.71E-06,0.000250276,0.000244459,7,103,85,2,16,3,8,73,0,0,0,0,12
-2.62E-06,0.000224923,-0.000197832,15,71,132,17,-8,2,1,56,0,0,0,0,13
-5.09E-07,-0.000136592,0.001267236,11,79,67,34,-3,-2,9,65,0,0,0,0,-4
-2.67E-06,-0.000548636,-0.003861715,5,55,35,34,19,10,-1,22,0,0,0,0,-7
-4.34E-07,-0.00018226,-0.000201875,-1,-8,16,14,6,0,7,6,0,0,0,0,11
-5.19E-07,0.00010148,-0.000160252,-2,11,-4,12,7,5,1,27,0,0,0,0,9
-3.61E-06,-0.000591677,-0.002242324,5,143,76,21,9,-3,24,109,0,0,0,0,-1
-2.89E-07,-0.0001492,-0.003691844,5,37,0,18,-1,-10,11,37,0,0,0,0,-34
1.90E-07,-3.73E-05,-0.002715706,-8,-27,-50,33,6,0,5,18,0,0,0,0,58
-1.76E-06,-0.000134192,-0.000773874,15,109,-13,33,46,-15,22,46,0,0,0,0,4
-1.26E-06,-0.00019375,-0.002418067,8,178,103,6,-12,-6,11,51,0,0,0,0,-2
6.86E-07,0.000154108,-0.000316471,2,-22,56,4,30,-4,1,17,0,0,0,0,51
-7.21E-07,2.02E-05,0.001110389,1,16,14,-1,12,-2,5,32,0,0,0,0,-47
-6.14E-06,-9.34E-05,0.001906648,7,293,66,29,15,-6,34,79,0,0,0,0,-10
1.31E-06,9.27E-05,0.000879905,-5,-58,-17,36,8,-4,5,-5,0,0,0,0,61
-1.17E-06,-0.000543061,0.00179929,-11,43,-37,15,9,-3,0,31,0,0,0,0,4
-2.15E-06,-2.53E-06,-0.00199919,-4,60,82,20,25,-2,14,44,0,0,0,0,21
-1.18E-06,0.000359687,0.002862997,12,95,157,18,81,-15,33,53,0,0,0,0,19
-3.66E-06,0.00013878,0.002805112,1,111,-32,9,28,-3,-5,7,0,0,0,0,10
-2.17E-06,-0.00061272,0.000176626,2,70,-12,-3,11,-7,17,-6,0,0,0,0,28
-6.80E-06,7.39E-05,0.001965579,14,194,54,70,60,0,-3,-13,0,0,0,0,-5
-5.73E-06,0.00053428,2.23E-06,21,224,-43,37,73,2,15,92,0,0,0,0,11
-2.78E-06,0.000472413,-0.000856106,17,160,26,34,8,-5,24,109,0,0,0,0,53
-1.86E-06,1.26E-05,-6.21E-05,13,27,21,39,-49,-6,20,126,0,0,0,0,-110
-4.49E-06,-5.24E-05,0.001828852,23,97,-101,67,-4,-8,46,168,0,0,0,0,13
-2.17E-06,0.000257022,0.002113687,5,103,-31,26,-16,-1,12,48,0,0,0,0,-21
-6.51E-07,0.000379853,-0.000377439,1,24,83,7,2,0,5,19,0.668713227,0,0,0,-44
6.44E-07,-0.000108574,-0.001514339,-3,-64,-34,-22,0,-7,-20,-38,2.9,0,0,1,-5
-8.91E-07,0.00027147,-0.001473115,0,59,4,-17,2,-3,-4,61,2.059,0,0,-1,13
-5.76E-07,0.000405503,-0.000270098,6,71,-43,-10,29,-12,17,-1,1.46189,0,0,0,11
-6.29E-07,0.000187254,-0.001833541,-4,40,-39,7,16,-6,13,50,1.0379419,0,0,0,-13
6.19E-07,2.01E-05,-0.000795159,-13,-92,-38,-11,-56,11,-3,20,0.736938749,0,0,0,-28
8.15E-07,-0.000215926,-0.000998915,0,-10,-16,-21,-26,-2,-2,15,0.523226512,0,0,0,29
5.97E-07,-0.000160134,-0.001292669,-4,-18,-20,1,-8,3,-12,4,1.281002842,0,0,0,-8
3.52E-06,3.48E-05,-0.004004023,-3,-225,-51,0,-3,0,-1,42,-2.900000003,0,0,2,-52
3.87E-06,-0.000387616,-0.00204738,-14,-156,41,-43,-58,-8,1,-57,-2.059,0,0,-2,21
2.78E-06,-0.00022238,0.000874783,-9,-119,-57,-37,-13,-1,-3,-77,-1.46189,0,0,0,17
2.73E-06,0.000137319,-0.001285163,-16,-49,59,-44,30,-3,-11,-82,-1.0379419,0,0,0,-29
2.92E-06,-0.000146441,-0.002812119,-24,-31,23,-52,68,-1,-30,-123,-0.736938749,0,0,0,-4
3.30E-06,9.64E-05,-0.000417369,-17,-129,-71,-30,-13,0,-14,-66,-0.523226512,0,0,0,32
1.85E-06,0.000161236,0.002263043,-7,-64,-134,-6,13,-3,-6,-27,-1.949716066,0,0,0,-31
-9.46E-07,-5.73E-05,0.001365034,12,60,3,33,11,0,12,34,0,0,0,0,-13
-4.41E-06,-0.00030253,-0.001282255,32,361,19,4,21,-1,7,-40,0,0,0,0,-21
-1.39E-06,-0.000261076,0.002413919,7,-2,27,35,17,3,-2,-7,0,0,0,0,7
-3.39E-07,-0.000363355,-0.002441841,16,52,66,16,-21,1,-11,-32,0,0,0,0,10
-6.14E-06,-0.000509039,-0.003053392,61,341,55,21,81,-6,4,62,0,0,0,0,-12
-3.72E-07,6.37E-05,0.005674072,6,20,-13,22,17,2,6,1,0,0,0,0,3
-5.67E-07,0.000118972,-0.000207307,1,14,5,1,10,-3,6,19,0,0,0,0,-18
-3.26E-06,-0.000470125,0.000384349,41,170,29,21,23,-3,31,18,0,0,0,0,11
-2.95E-06,-0.000364004,0.000943769,38,99,102,91,117,8,21,108,0,0,0,0,-2
-3.90E-06,-6.18E-05,-0.000278782,35,178,141,75,91,4,22,85,0,0,0,0,-2
-5.91E-06,-0.000866315,-0.002115796,96,487,322,200,459,7,11,657,0,0,0,0,-8
-9.40E-06,-0.000999746,0.001590277,74,854,721,238,379,15,81,809,0,0,0,0,6
-1.80E-06,-6.44E-05,0.002034967,5,94,247,36,108,-2,33,172,0,0,0,0,4
-1.40E-06,-0.00032147,0.0002265,9,52,165,20,53,1,32,72,0,0,0,0,-13
-7.30E-06,-0.00058701,0.002874321,85,719,398,210,277,5,87,596,0,0,0,0,1
-6.30E-06,0.000311962,0.002439303,93,673,864,568,571,16,264,1408,0,0,0,0,0
-3.90E-06,0.000593518,0.006695409,64,446,381,228,242,0,104,601,0.668713227,0,0,0,13
-3.80E-06,0.000672077,0.005864425,43,305,238,296,274,3,94,488,2.9,0,0,5,-10
-2.70E-06,0.00068791,0.006320921,18,214,151,299,289,-7,80,425,2.059,0,0,-4,-4
-1.80E-06,0.00020528,0.005121232,19,149,146,64,111,-3,29,252,1.46189,0,0,-1,15
-1.00E-06,0.000202769,0.003659979,15,79,185,78,122,0,18,182,1.0379419,0,0,0,-12
-1.40E-06,0.000220554,0.00621759,20,203,333,250,214,2,84,562,0.736938749,0,0,0,-13
-1.00E-06,0.000604547,0.004478583,32,156,257,254,127,-7,91,537,0.523226512,0,0,0,4
-1.30E-06,0.000273177,0.00165669,40,188,209,213,194,-4,99,665,1.281002842,0,0,0,15
-1.40E-06,-0.000330163,0.003228896,5,136,-144,152,-230,-5,90,47,-2.900000003,0,0,0,-8
-6.00E-07,0.000317203,-0.003076973,16,-31,-329,77,-136,-11,29,158,-2.059,0,0,0,3
-1.40E-06,-2.97E-05,0.003727513,26,109,-50,154,49,0,42,596,-1.46189,0,0,0,6
-2.40E-06,-0.000253275,0.00397672,28,217,176,272,162,4,98,937,-1.0379419,0,0,0,-6
-5.00E-07,-9.25E-05,0.000718535,30,-3,-323,33,-97,-7,86,324,-0.736938749,0,0,0,-7
1.00E-06,-8.45E-05,-0.00187928,-43,-272,-977,-351,-419,-26,-144,-564,-0.523226512,0,0,0,3
1.10E-06,-3.26E-05,0.000552863,-16,-145,-262,-96,-152,-5,-11,-198,-1.949716066,0,0,0,25
2.80E-06,0.000646215,-0.000325948,-37,-212,-581,-377,-323,-15,-89,-588,0,0,0,0,-27
3.00E-06,-0.000199099,-0.004230337,-39,-268,-428,-340,-484,-9,-79,-462,0,0,0,0,9
1.20E-06,-0.000322869,-0.000735865,-11,-64,-12,-77,-96,-2,-10,-239,0,0,0,0,10
9.00E-07,-0.00024518,0.000125398,-17,-74,-131,-77,-111,-1,-16,-129,0,0,0,0,-22
2.80E-06,-0.000441952,-0.006429395,-34,-371,-684,-359,-306,-16,-130,-706,0,0,0,0,4
2.60E-06,-0.000576032,-0.005885866,-54,-387,-588,-387,-288,-9,-116,-697,0,0,0,0,-8
3.00E-06,-0.001315091,-0.008842816,-47,-353,-545,-326,-298,-11,-136,-788,0,0,0,0,5
5.30E-06,-0.001034947,-0.009927405,-79,-609,-503,-386,-289,-8,-93,-745,0,0,0,0,3
3.30E-06,-2.78E-05,-0.000273326,-65,-217,18,-171,-3,-2,-57,-489,0,0,0,0,-3
2.60E-06,8.38E-05,0.002387751,-22,-86,529,6,197,6,-5,-69,0.668713227,0,0,0,12
5.80E-06,-0.001255382,-0.007582756,-72,-494,-158,-259,-152,-6,-108,-828,2.9,0,0,0,-2
3.90E-06,-7.02E-05,-0.001701011,-11,-90,332,-47,93,1,-104,-268,2.059,0.668713227,0,0,-2
1.90E-06,9.08E-05,-0.004439725,-10,-21,409,-24,144,9,-18,-140,1.46189,2.9,0,0,-3
-3.30E-06,0.000234071,-0.004746216,-10,280,287,31,144,0,19,222,1.0379419,2.059,0,0,1
-3.90E-06,0.001615053,0.001468999,66,346,484,239,449,7,93,641,0.736938749,4.372286773,0,0,-2
-3.70E-06,0.001358831,0.007908223,54,289,455,221,526,7,68,524,0.523226512,0,0,0,1
-7.00E-07,0.000138013,0.000858195,4,53,-23,28,78,2,7,73,1.281002842,0,0,0,5
-7.00E-07,6.78E-05,0.002202735,3,25,82,26,74,-1,32,77,-2.900000003,0.66871323,0,0,-1
-2.70E-06,0.000934946,0.005401732,31,301,690,252,286,6,102,614,-2.059,-2.900000003,0,0,-6
-4.00E-06,-0.000348856,-0.000184321,79,494,976,293,448,17,101,899,-1.46189,-2.059,0,0,6
-3.00E-06,-0.000163309,0.000612352,31,243,609,288,450,13,118,752,-1.0379419,4.290286773,0,0,16
