entropy_p,entropy_i,NCE_t,issuer,users,tasks,covid_topic,education_topic,environment_topic,reopen_topic,transportation_topic,volunteering_topic,policy,policy_pos,policy_neg,reopen,covid_shenzhen,covid_CHN
0.000202168,0.059716591,0.270219032,446,4690,19057,4140,476,677,244,109,973,0,0,0,0,0,52
0.000196038,0.059107763,0.269309302,462,4855,19310,4118,491,691,243,122,997,0,0,0,0,0,28
0.000198485,0.058866898,0.269163649,463,4833,19232,4056,502,690,241,124,1002,0,0,0,0,0,21
0.000197789,0.058620203,0.264573598,459,4834,19384,3997,506,689,244,124,987,0,0,0,0,0,29
0.000190202,0.057308035,0.259399211,463,4969,20683,4177,507,736,252,134,1040,0,0,0,0,0,24
0.000179747,0.056312031,0.258864976,473,5144,21976,4397,516,837,262,141,1107,0,0,0,0,0,18
0.000180521,0.05648746,0.258674825,473,5127,21882,4421,509,821,255,137,1100,0,0,0,0,0,14
0.000186311,0.057363249,0.263253745,464,5030,20754,4212,478,801,238,129,1050,0,0,0,0,0,23
0.000180917,0.057503822,0.264257705,485,5221,20953,4160,486,749,241,137,1033,0,0,0,0,0,5
0.000175304,0.05729057,0.266518721,497,5433,21472,4227,502,773,246,136,1056,0,0,0,0,0,31
0.000170903,0.056841372,0.265985973,517,5553,21724,4302,510,789,242,138,1079,0,0,0,0,0,15
0.000168623,0.057001729,0.269477259,530,5568,21932,4358,515,808,254,139,1095,0,0,0,0,0,9
0.000164079,0.057102797,0.272764974,540,5692,22198,4384,524,858,259,141,1087,0,0,0,0,0,19
0.000162743,0.057352568,0.275361932,540,5751,22278,4374,521,858,261,141,1096,0,0,0,0,0,14
0.000163871,0.057447354,0.276991212,537,5732,22175,4318,516,850,261,141,1082,0,0,0,0,0,25
0.000163598,0.057511429,0.281383083,536,5745,22160,4346,521,836,262,146,1075,0,0,0,0,0,21
0.000159886,0.057761705,0.281627542,543,5848,22589,4431,523,852,265,154,1148,0,0,0,0,0,33
0.000157269,0.057986628,0.28142971,558,5919,22994,4563,540,844,267,155,1204,0,0,0,0,0,46
0.00015676,0.057850036,0.282696946,569,5998,23247,4630,574,841,265,164,1269,0,0,0,0,0,42
0.000154087,0.0573014,0.278835231,574,6053,23549,4665,608,860,275,163,1291,0,0,0,0,0,35
0.000153653,0.05711914,0.278633356,573,6045,23603,4681,622,866,275,170,1297,0,0,0,0,0,46
0.000153134,0.05722062,0.278473104,571,6056,23674,4677,634,873,280,171,1324,0,0,0,0,0,55
0.000149527,0.056628943,0.27623078,576,6199,24025,4753,655,882,277,195,1433,0,0,0,0,0,54
0.000149238,0.056479743,0.272538936,581,6236,24050,4753,673,881,267,206,1470,0,0,0,0,0,20
0.000149428,0.056442489,0.26982323,573,6209,24204,4703,706,887,267,211,1488,0,0,0,0,0,78
0.00014767,0.056308297,0.269049356,588,6318,24297,4690,739,933,252,233,1534,0,0,0,0,0,82
0.000146413,0.056114547,0.266631289,596,6496,24382,4793,745,921,246,244,1585,0,0,0,0,0,80
0.000147099,0.056268655,0.266314818,598,6474,24344,4849,749,951,242,245,1602,0,0,0,0,0,131
0.000146378,0.056288847,0.267425207,599,6490,24517,4863,748,963,240,250,1634,0,0,0,0,0,84
0.000140241,0.056195426,0.269331855,606,6783,25260,4929,777,978,234,284,1713,0,0,0,0,0,74
0.000141548,0.056288147,0.27021176,601,6725,25318,4912,813,986,230,289,1708,0,0,0,0,0,135
