,Sliding window,shenzhen,futian,baoan,pingshan,guangming,longhua,luohu,nanshan,yantian,longgang
109,2020/6/6,0.272084869,0.236197334,0.614457167,0.404488953,0.306807388,1.276324288,0.313332636,0.271699563,0.285036227,0.28953971
110,2020/6/7,0.275297998,0.237025095,0.612118741,0.4086373,0.350934198,1.278417049,0.314602923,0.271992389,0.294603776,0.295014917
111,2020/6/8,0.274087969,0.234247546,0.603450708,0.405801436,0.361022263,1.252934616,0.306343352,0.276071696,0.314625004,0.291803068
112,2020/6/9,0.271910718,0.235689624,0.602231695,0.406424312,0.371602939,1.34739822,0.299272772,0.260483421,0.306594694,0.291235686
113,2020/6/10,0.270516973,0.237100311,0.627344307,0.401570383,0.369382346,1.416989966,0.303262313,0.266389076,0.296905657,0.2672626
114,2020/6/11,0.269459584,0.2406171,0.622174717,0.403605325,0.369256334,1.457573161,0.305562655,0.258459386,0.298202602,0.249772806
115,2020/6/12,0.275460361,0.249129275,0.651333505,0.434974203,0.386466839,1.533319533,0.309961562,0.251812282,0.319517101,0.256327582
116,2020/6/13,0.272503984,0.249756,0.740861267,0.431738614,0.354155045,1.152973458,0.305330358,0.246210386,0.325420569,0.260954788
117,2020/6/14,0.270393748,0.249920476,0.788982801,0.433023517,0.351586716,1.088598786,0.291109481,0.246518566,0.318928114,0.262226289
118,2020/6/15,0.268426888,0.250027179,0.742385676,0.429445903,0.349037861,1.098631376,0.295535722,0.244394634,0.289713329,0.249688714
119,2020/6/16,0.267927706,0.254243532,0.785574359,0.425138427,0.36652653,0.844513719,0.305695384,0.25118909,0.299473101,0.234991662
120,2020/6/17,0.267336589,0.259396351,0.757195182,0.432744187,0.364992031,1.041660117,0.305664383,0.250133203,0.288298355,0.233326
121,2020/6/18,0.269235601,0.261759523,0.794043078,0.443065788,0.388864878,1.015656139,0.312361463,0.246548317,0.324242005,0.233159298
122,2020/6/19,0.271682685,0.259687308,0.73726345,0.459452706,0.397742326,1.426919699,0.310446947,0.248124958,0.330750666,0.242713963
123,2020/6/20,0.27182306,0.260156328,0.746926748,0.451047078,0.396469568,0.996685906,0.319574645,0.248521482,0.330212942,0.250610336
124,2020/6/21,0.27122981,0.260893536,0.711237484,0.451726298,0.349189705,1.046117191,0.316278514,0.255132654,0.320046171,0.250378799
125,2020/6/22,0.270219032,0.262702244,0.695752787,0.446288411,0.348648948,1.105515337,0.319771314,0.253001452,0.301323878,0.247541594
126,2020/6/23,0.269309302,0.263294241,0.686292489,0.455561049,0.397134589,1.034644526,0.316498949,0.256955475,0.273421873,0.254925147
127,2020/6/24,0.269163649,0.262710471,0.805683404,0.455940702,0.391027535,0.973236445,0.303940731,0.255915677,0.280650672,0.258522217
128,2020/6/25,0.264573598,0.261873873,0.759328372,0.450844906,0.385138345,0.911091957,0.285583001,0.257784944,0.265718959,0.259258849
129,2020/6/26,0.259399211,0.251637371,0.73656152,0.399644958,0.378949681,0.862072599,0.279109759,0.261219514,0.234907293,0.265079781
130,2020/6/27,0.258864976,0.253319847,0.715820237,0.39041581,0.407791518,0.832245515,0.282146294,0.258895698,0.225120832,0.268700345
131,2020/6/28,0.258674825,0.252213942,0.71328145,0.383669404,0.420335974,0.881048938,0.282317803,0.254721689,0.211247821,0.272496843
132,2020/6/29,0.263253745,0.265284976,0.752837334,0.394256133,0.428391359,0.858567536,0.282205726,0.261260999,0.241581634,0.271317574
133,2020/6/30,0.264257705,0.270075881,0.735779836,0.393893778,0.441734506,1.299423142,0.285738065,0.252076603,0.231387414,0.277642227
134,2020/7/1,0.266518721,0.282137915,0.750882987,0.377373313,0.436684798,1.24620192,0.276613668,0.247886419,0.222150052,0.28325111
135,2020/7/2,0.265985973,0.282371224,0.664770857,0.371891466,0.398121731,1.243298739,0.274850742,0.234155472,0.225175763,0.290253569
136,2020/7/3,0.269477259,0.294393646,0.687513763,0.375017694,0.400298336,1.150246855,0.286997127,0.217773375,0.218645677,0.294494409
137,2020/7/4,0.272764974,0.3062286,0.63917613,0.383051107,0.431254376,2.067530344,0.294511795,0.213466976,0.231069833,0.295155442
138,2020/7/5,0.275361932,0.309420524,0.652794241,0.383189861,0.414060338,1.091796454,0.295661626,0.205982058,0.244940492,0.303733569
139,2020/7/6,0.276991212,0.311469235,0.654805252,0.385853082,0.421390458,1.002692423,0.298259891,0.207873436,0.243765646,0.306491728
140,2020/7/7,0.281383083,0.316297768,0.644061268,0.379104873,0.465647352,1.050082018,0.30717378,0.20577547,0.261969996,0.311581132
141,2020/7/8,0.281627542,0.316062833,0.659446423,0.390938541,0.475112732,0.76296338,0.31099053,0.196032644,0.271214447,0.311999961
142,2020/7/9,0.28142971,0.311925647,0.677621258,0.397578218,0.451350054,0.534894011,0.318026911,0.19997908,0.26519244,0.305993933
143,2020/7/10,0.282696946,0.311611119,0.714140716,0.392662132,0.480622053,0.587908426,0.320587546,0.200356063,0.27420811,0.304682435
144,2020/7/11,0.278835231,0.306578848,0.729885291,0.3808031,0.497032608,0.574099554,0.312559644,0.19440441,0.272358657,0.3000929
145,2020/7/12,0.278633356,0.308695656,0.731091164,0.383759893,0.495048804,0.579781409,0.316044808,0.194278188,0.279200073,0.296853794
146,2020/7/13,0.278473104,0.309417213,0.740003741,0.386163974,0.485482939,0.579781409,0.318891993,0.190744857,0.264192153,0.295414033
147,2020/7/14,0.27623078,0.303175321,0.701737954,0.382053949,0.491504861,0.609666845,0.320156513,0.181579143,0.255707525,0.292594091
148,2020/7/15,0.272538936,0.289751039,0.720456764,0.385218496,0.495723967,0.597940587,0.320702289,0.172125881,0.262801116,0.291954927
149,2020/7/16,0.26982323,0.283278823,0.740433275,0.377163763,0.535157053,0.504472647,0.321916757,0.173966313,0.248829265,0.284725259
150,2020/7/17,0.269049356,0.276703125,0.720378208,0.371091698,0.573310339,0.512948301,0.325182038,0.17098062,0.25212655,0.283848162
151,2020/7/18,0.266631289,0.266438077,0.732598627,0.35818399,0.605723421,0.428476881,0.325436524,0.165484959,0.239746284,0.282703426
152,2020/7/19,0.266314818,0.269237755,0.750435045,0.351596213,0.644029704,0.385234942,0.320652845,0.175276768,0.229978452,0.281013705
153,2020/7/20,0.267425207,0.26842013,0.757880307,0.349672683,0.644619871,0.376640005,0.329238793,0.168568331,0.238787836,0.281235826
154,2020/7/21,0.269331855,0.2685371,0.750433102,0.349459109,0.623533739,0.376640005,0.334474295,0.167044385,0.243845795,0.284302039
155,2020/7/22,0.27021176,0.274782245,0.693985981,0.348219484,0.671124831,0.355703394,0.334465709,0.175618815,0.245974149,0.282337491
156,2020/7/23,0.27201105,0.28189012,0.722750049,0.339247312,0.73225765,0.382344679,0.337572815,0.179775551,0.250261428,0.283446815
157,2020/7/24,0.27001186,0.27679467,0.727017251,0.337859044,0.68958753,0.369546351,0.341145484,0.175348787,0.220274574,0.284875241
158,2020/7/25,0.272874857,0.274906655,0.737576475,0.34132148,0.707609108,0.406353396,0.353865528,0.181260543,0.229630335,0.285076483
159,2020/7/26,0.275679969,0.274107861,0.716904344,0.340437626,0.715518555,0.374431532,0.357028076,0.188102655,0.224001252,0.289288763
160,2020/7/27,0.275856595,0.267873506,0.714762937,0.336831807,0.726018796,0.376683169,0.35625765,0.191918827,0.232987658,0.290844128
161,2020/7/28,0.277822174,0.269107326,0.800759273,0.333105583,0.735220227,0.323231768,0.350479479,0.200571794,0.244605474,0.295019722
162,2020/7/29,0.277824403,0.274128046,0.749529101,0.327505943,0.713707978,0.305803143,0.33653733,0.202936955,0.234908604,0.298396881
163,2020/7/30,0.276968297,0.273226838,0.78926622,0.311398368,0.700108069,0.296549286,0.346514808,0.211187235,0.236414055,0.295862912
164,2020/7/31,0.276906188,0.279914624,0.825497266,0.303829431,0.536024684,0.29623039,0.346401253,0.219161105,0.227779889,0.294398928
165,2020/8/1,0.27873504,0.277550076,0.875441822,0.306796742,0.49944996,0.347513981,0.343359747,0.229192812,0.214319188,0.297193439
166,2020/8/2,0.280848727,0.276837134,0.868895272,0.305887837,0.496770107,0.340475456,0.347966595,0.224027356,0.211013818,0.301183372
167,2020/8/3,0.280471288,0.277217526,0.751834296,0.304595425,0.482319485,0.414325767,0.348064308,0.225997257,0.199791564,0.300022036
168,2020/8/4,0.278956949,0.270829308,0.812520586,0.301511631,0.493553656,0.438560108,0.33507814,0.225040423,0.192273625,0.300490481
169,2020/8/5,0.277483834,0.277315247,0.838015546,0.289495595,0.481627,0.473895717,0.318766996,0.221591945,0.201183674,0.30075597
170,2020/8/6,0.277213736,0.277936848,0.789752831,0.282336704,0.474657948,0.47069075,0.311842087,0.215666921,0.199451495,0.30230017
171,2020/8/7,0.275380195,0.272175672,0.759118583,0.279165248,0.457194753,0.488498499,0.296106927,0.216702202,0.19256584,0.30168105
172,2020/8/8,0.274585036,0.265560133,0.758517474,0.276604435,0.462759335,0.498279203,0.28925882,0.223080711,0.184534484,0.302472226
173,2020/8/9,0.273586121,0.268808104,0.806017487,0.276693571,0.46373889,0.427303434,0.285816976,0.214722373,0.189273902,0.300699689
174,2020/8/10,0.272293452,0.26802443,0.800442386,0.27921109,0.456117754,0.415879298,0.288920583,0.210349463,0.191746844,0.297716099
175,2020/8/11,0.268289429,0.260832881,0.66008783,0.265828747,0.431055096,0.48876398,0.295322691,0.209483495,0.188484624,0.292662923
176,2020/8/12,0.266242049,0.249901153,0.630900898,0.258098553,0.411819628,0.538190135,0.293421793,0.208508421,0.186249398,0.292404527
177,2020/8/13,0.267116832,0.252735992,0.626883472,0.259538695,0.389597559,0.622829925,0.287234982,0.221317407,0.194757894,0.2937919
178,2020/8/14,0.265831669,0.246872588,0.554339766,0.261853751,0.432989305,0.642412635,0.283712299,0.220770423,0.195816243,0.292342561
179,2020/8/15,0.26301955,0.240414852,0.517284757,0.257317029,0.44507417,0.581354766,0.287486425,0.217237705,0.197962343,0.29020321
180,2020/8/16,0.262602181,0.244781319,0.503350792,0.260132058,0.44877495,0.658524526,0.295002158,0.216788373,0.2020617,0.286367743
181,2020/8/17,0.264865224,0.246198628,0.556577858,0.266378163,0.453223998,0.683227876,0.302479008,0.214556957,0.207891628,0.286976658
182,2020/8/18,0.266230258,0.24744365,0.511985512,0.258479318,0.386998915,0.621118729,0.305789831,0.223405453,0.217059417,0.290033253
183,2020/8/19,0.264948003,0.250405969,0.496259813,0.255379645,0.397161144,0.489684154,0.302664573,0.216368658,0.209865773,0.288786393
184,2020/8/20,0.267361922,0.252771916,0.513317761,0.264406527,0.407941217,0.56702934,0.305222629,0.213600707,0.222309671,0.290672272
185,2020/8/21,0.264920081,0.250387174,0.534724954,0.270581297,0.391139234,0.539538286,0.301640349,0.224273895,0.23096064,0.286615113
186,2020/8/22,0.261866689,0.250840733,0.474691783,0.270026292,0.362973717,0.4186276,0.290573503,0.225496603,0.22009124,0.28650123
187,2020/8/23,0.267540761,0.261058582,0.49515391,0.270963543,0.375233751,0.534078267,0.301349662,0.246056083,0.217131639,0.288120642
188,2020/8/24,0.267333454,0.264723751,0.425748472,0.270048994,0.379239623,0.820044558,0.300984911,0.254928353,0.205813445,0.286330178
189,2020/8/25,0.267717803,0.268026638,0.382237421,0.276264392,0.357580637,0.366398325,0.301661157,0.262424411,0.214240883,0.286354441
190,2020/8/26,0.268661572,0.267868797,0.318457322,0.286155469,0.359033533,0.227232178,0.303741678,0.280897213,0.214240883,0.285847212
191,2020/8/27,0.26838279,0.268508157,0.30629151,0.292196304,0.288515144,0.223032029,0.305051993,0.286391408,0.200311496,0.285397612
192,2020/8/28,0.266266994,0.259245872,0.290144133,0.296533157,0.274037183,0.2338494,0.304263862,0.291462938,0.194511688,0.281966751
193,2020/8/29,0.267857271,0.249488083,0.289609461,0.300058662,0.260494025,0.249487876,0.316462638,0.301992272,0.208519124,0.280269086
194,2020/8/30,0.269892238,0.253927303,0.289202277,0.311028813,0.257921493,0.2584393,0.316318562,0.304170465,0.208519124,0.28159848
195,2020/8/31,0.270118738,0.257462413,0.300692688,0.309039954,0.258135851,0.251099379,0.312145636,0.308251524,0.215255912,0.281254491
196,2020/9/1,0.272993059,0.272566485,0.295641765,0.309857235,0.269173996,0.272186108,0.317981915,0.312877392,0.231838569,0.279094465
197,2020/9/2,0.275432362,0.281507357,0.293049064,0.311426319,0.252451785,0.279121534,0.311645834,0.312778228,0.221182237,0.284654927
198,2020/9/3,0.282127771,0.300871796,0.287425296,0.305948103,0.241766723,0.293345498,0.311572789,0.313755916,0.211413047,0.292299644
199,2020/9/4,0.287992196,0.319293016,0.281291672,0.300896209,0.254667533,0.313638126,0.313774237,0.310696675,0.203221704,0.296994216
200,2020/9/5,0.294313117,0.339260166,0.267244637,0.295646524,0.254160029,0.322779845,0.314819435,0.310887306,0.215910639,0.303115137
201,2020/9/6,0.299434349,0.344927779,0.263625087,0.295452347,0.259776976,0.329158446,0.319824744,0.312168989,0.222090706,0.309547476
202,2020/9/7,0.303094328,0.351137026,0.263838836,0.296420467,0.259196139,0.328222615,0.321844418,0.315440241,0.239297451,0.313322228
203,2020/9/8,0.309311918,0.366819726,0.256955164,0.304223488,0.263368385,0.337075291,0.316035709,0.320631078,0.241818248,0.31808932
204,2020/9/9,0.313790501,0.377482803,0.250371755,0.298879344,0.265164022,0.335830347,0.314758771,0.316929754,0.250400453,0.325277695
205,2020/9/10,0.315447191,0.383194869,0.242771552,0.294340322,0.279547569,0.329094197,0.318600879,0.319593237,0.269567658,0.323402006
206,2020/9/11,0.318676087,0.383133454,0.2422187,0.302781771,0.291450427,0.327530002,0.325661425,0.325071602,0.266219737,0.326875666
